,Branch,Date,Segment,Rating,Tonnage,Qty,year_month,Month,weekofyear,quarter,dayofyear,month_sin,month_cos,week_sin,week_cos,qty_lag_1,qty_lag_2,qty_lag_3,qty_lag_6,qty_lag_12,qty_ma_3,qty_std_3,qty_ma_6,qty_std_6,qty_ma_12,qty_std_12,mom_growth,yoy_growth,rolling_trend_3,is_outlier,segment_code,rating_code,branch_code,tonnage_code,log_qty
1285,COK,2022-10-31,Inverter,5 Star,1.0,91.0,2022-10-01,10,44,4,304,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,90.5,4.0,25.0,72.0,175.5,61.833333333333336,50.08575978592004,45.083333333333336,37.09233973028003,112.45833333333333,138.12008252593031,0.0055248618174048416,-0.4814814787379973,1.4733332744000025,0,0,4,1,1,4.5217885770490405
1286,COK,2022-10-31,Inverter,3 Star,2.0,3.0,2022-10-01,10,44,4,304,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,91.0,90.5,4.0,39.0,68.0,61.5,50.66310294484095,39.083333333333336,40.980991528591744,107.04166666666667,141.26095425477558,-0.9670329564062313,-0.9558823388840832,14.374996406250897,0,0,2,1,4,1.3862943611198906
1287,COK,2022-10-31,Inverter,3 Star,1.0,254.0,2022-10-01,10,44,4,304,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,3.0,91.0,90.5,21.0,102.0,116.0,127.35383779062019,77.91666666666667,95.09070231450876,119.70833333333333,147.4471335664746,83.66663877778707,1.4901960638216072,0.2817679526876469,0,0,2,1,1,5.541263545158426
1288,COK,2022-10-31,Inverter,3 Star,1.5,152.0,2022-10-01,10,44,4,304,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,254.0,3.0,91.0,25.0,484.0,136.33333333333334,126.23126923759006,99.08333333333333,95.0907023145088,92.04166666666667,94.53052857851499,-0.40157480156860315,-0.6859504118058876,0.4981684926941192,0,0,2,1,2,5.030437921392435
1289,COK,2022-10-31,Inverter,3 Star,1.8,78.0,2022-10-01,10,44,4,304,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,152.0,254.0,3.0,4.0,63.0,161.33333333333334,88.37043246093667,111.41666666666667,84.50113411467645,93.29166666666667,94.21022390313534,-0.48684210206024936,0.23809523431594867,52.77776018519105,0,0,2,1,3,4.3694478524670215
1290,COK,2022-11-30,Inverter,3 Star,1.5,313.0,2022-11-01,11,48,4,334,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,78.0,152.0,254.0,90.5,290.0,181.0,120.15406776301688,148.5,116.31809833383575,95.20833333333333,98.7028272445157,3.0128204741946094,0.07931034455410226,-0.28740157367164737,0,0,2,1,2,5.749392985908253
1291,COK,2022-11-30,Inverter,3 Star,1.8,57.0,2022-11-01,11,48,4,334,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,313.0,78.0,152.0,91.0,72.0,149.33333333333334,142.1278766932545,142.83333333333334,120.43490634640169,93.95833333333333,99.1175744285854,-0.8178913711888455,-0.20833333043981486,-0.017543859533702615,0,0,2,1,3,4.060443010546419
1292,COK,2022-11-30,Inverter,3 Star,2.0,102.0,2022-11-01,11,48,4,334,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,57.0,313.0,78.0,3.0,39.0,157.33333333333334,136.67601594037254,159.33333333333334,102.95953897850627,99.20833333333333,97.59877475323877,0.7894736703601111,1.6153845739644983,1.0170940040543506,0,0,2,1,4,4.634728988229636
1293,COK,2022-11-30,Inverter,5 Star,1.0,136.0,2022-11-01,11,48,4,334,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,102.0,57.0,313.0,254.0,21.0,98.33333333333333,39.62743157628211,139.66666666666666,91.94056050876863,108.79166666666667,94.8279442735717,0.33333333006535953,5.476190215419513,-0.6858359935489798,0,0,4,1,1,4.919980925828125
1294,COK,2022-11-30,Inverter,5 Star,1.5,102.0,2022-11-01,11,48,4,334,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,136.0,102.0,57.0,152.0,25.0,113.33333333333333,19.629909152437083,131.33333333333334,92.86046880490397,115.20833333333333,91.17751375833637,-0.2499999981617647,3.079999876800005,0.9883040762285834,0,0,4,1,2,4.634728988229636
