Date,Qty
2022-06-30,1947.5
2022-07-04,5.0
2022-07-05,9.0
2022-07-06,111.0
2022-07-07,109.0
2022-07-08,167.0
2022-07-09,9.0
2022-07-11,31.0
2022-07-12,126.0
2022-07-13,119.5
2022-07-14,314.0
2022-07-15,449.0
2022-07-16,509.0
2022-07-18,260.5
2022-07-19,565.0
2022-07-20,259.0
2022-07-21,317.0
2022-07-22,407.0
2022-07-23,249.5
2022-07-25,447.5
2022-07-26,423.5
2022-07-27,336.0
2022-07-28,495.5
2022-07-29,1152.0
2022-07-30,2731.0
2022-07-31,252.0
2022-08-02,3.0
2022-08-03,12.0
2022-08-04,83.5
2022-08-05,201.0
2022-08-06,53.0
2022-08-08,88.5
2022-08-09,239.0
2022-08-10,290.0
2022-08-11,99.0
2022-08-12,172.0
2022-08-13,122.0
2022-08-14,25.0
2022-08-16,488.0
2022-08-17,487.0
2022-08-18,236.0
2022-08-19,349.0
2022-08-20,346.0
2022-08-22,413.5
2022-08-23,463.0
2022-08-24,619.0
2022-08-25,724.5
2022-08-26,802.5
2022-08-27,755.5
2022-08-28,117.0
2022-08-29,883.0
2022-08-30,1778.0
2022-08-31,1351.5
2022-09-02,4.0
2022-09-03,44.0
2022-09-05,238.0
2022-09-06,110.0
2022-09-07,127.0
2022-09-08,335.5
2022-09-09,370.0
2022-09-10,233.0
2022-09-11,100.0
2022-09-12,175.5
2022-09-13,379.0
2022-09-14,315.0
2022-09-15,150.0
2022-09-16,1043.0
2022-09-17,74.5
2022-09-19,390.5
2022-09-20,461.0
2022-09-21,588.0
2022-09-22,425.0
2022-09-23,586.0
2022-09-24,288.0
2022-09-25,126.0
2022-09-26,316.0
2022-09-27,649.0
2022-09-28,1922.0
2022-09-29,1990.5
2022-09-30,3354.0
2022-10-03,1.0
2022-10-04,28.0
2022-10-06,190.0
2022-10-07,221.0
2022-10-08,17.0
2022-10-10,173.0
2022-10-11,362.0
2022-10-12,252.0
2022-10-13,279.5
2022-10-14,544.5
2022-10-15,52.0
2022-10-17,341.5
2022-10-18,283.0
2022-10-19,253.0
2022-10-20,466.5
2022-10-21,312.0
2022-10-22,248.0
2022-10-25,4.0
2022-10-26,254.0
2022-10-27,707.0
2022-10-28,659.0
2022-10-29,1229.0
2022-10-30,345.5
2022-10-31,3283.5
2022-11-03,97.0
2022-11-04,155.0
2022-11-05,65.0
2022-11-07,73.0
2022-11-08,253.5
2022-11-09,96.0
